ba_code,ba_name,time_zone,region_or_country_code,region_or_country_name,generation_only_ba,demand_by_ba_subregion,us_ba,active_ba,activation_date,retirement_date
AEC,PowerSouth Energy Cooperative,Central,SE,Southeast,No,No,Yes,No,,9/1/2021
AECI,"Associated Electric Cooperative, Inc.",Central,MIDW,Midwest,No,No,Yes,Yes,,
AVA,Avista Corporation,Pacific,NW,Northwest,No,No,Yes,Yes,,
AVRN,"Avangrid Renewables, LLC",Pacific,NW,Northwest,Yes,No,Yes,Yes,7/31/2018,
AZPS,Arizona Public Service Company,Arizona,SW,Southwest,No,No,Yes,Yes,,
BANC,Balancing Authority of Northern California,Pacific,CAL,California,No,No,Yes,Yes,,
BHBA,Black Hills Energy,Mountain,NW,Northwest,No,Yes,Yes,Yes,4/1/2026,
BPAT,Bonneville Power Administration,Pacific,NW,Northwest,No,No,Yes,Yes,,
CHPD,Public Utility District No. 1 of Chelan County,Pacific,NW,Northwest,No,No,Yes,Yes,,
CISO,California Independent System Operator,Pacific,CAL,California,No,Yes,Yes,Yes,,
CPLE,Duke Energy Progress East,Eastern,CAR,Carolinas,No,No,Yes,Yes,,
CPLW,Duke Energy Progress West,Eastern,CAR,Carolinas,No,No,Yes,Yes,,
DEAA,"Arlington Valley, LLC",Arizona,SW,Southwest,Yes,No,Yes,Yes,,
DOPD,PUD No. 1 of Douglas County,Pacific,NW,Northwest,No,No,Yes,Yes,,
DUK,Duke Energy Carolinas,Eastern,CAR,Carolinas,No,No,Yes,Yes,,
EEI,"Electric Energy, Inc.",Central,MIDW,Midwest,Yes,No,Yes,No,,2/29/2020
EPE,El Paso Electric Company,Arizona,SW,Southwest,No,No,Yes,Yes,,
ERCO,"Electric Reliability Council of Texas, Inc.",Central,TEX,Texas,No,Yes,Yes,Yes,,
FMPP,Florida Municipal Power Pool,Eastern,FLA,Florida,No,No,Yes,Yes,,
FPC,"Duke Energy Florida, Inc.",Eastern,FLA,Florida,No,No,Yes,Yes,,
FPL,Florida Power & Light Co.,Eastern,FLA,Florida,No,No,Yes,Yes,,
GCPD,"Public Utility District No. 2 of Grant County, Washington",Pacific,NW,Northwest,No,No,Yes,Yes,,
GLHB,GridLiance,Central,MIDW,Midwest,Yes,No,Yes,No,2/29/2020,9/1/2022
GRID,"Gridforce Energy Management, LLC",Pacific,NW,Northwest,Yes,No,Yes,Yes,,
GRIF,"Griffith Energy, LLC",Arizona,SW,Southwest,Yes,No,Yes,No,,11/1/2023
GRMA,"Gila River Power, LLC",Arizona,SW,Southwest,Yes,No,Yes,No,,5/3/2018
GVL,Gainesville Regional Utilities,Eastern,FLA,Florida,No,No,Yes,Yes,,
GWA,"NaturEner Power Watch, LLC",Mountain,NW,Northwest,Yes,No,Yes,Yes,,
HGMA,"New Harquahala Generating Company, LLC",Arizona,SW,Southwest,Yes,No,Yes,No,,6/1/2025
HST,City of Homestead,Eastern,FLA,Florida,No,No,Yes,Yes,,
IID,Imperial Irrigation District,Pacific,CAL,California,No,No,Yes,Yes,,
IPCO,Idaho Power Company,Pacific,NW,Northwest,No,No,Yes,Yes,,
ISNE,ISO New England,Eastern,NE,New England,No,Yes,Yes,Yes,,
JEA,JEA,Eastern,FLA,Florida,No,No,Yes,Yes,,
LDWP,Los Angeles Department of Water and Power,Pacific,CAL,California,No,No,Yes,Yes,,
LGEE,Louisville Gas and Electric Company and Kentucky Utilities Company,Eastern,MIDW,Midwest,No,No,Yes,Yes,,
MISO,"Midcontinent Independent System Operator, Inc.",Eastern,MIDW,Midwest,No,Yes,Yes,Yes,,
NEVP,Nevada Power Company,Pacific,NW,Northwest,No,No,Yes,Yes,,
NSB,Utilities Commission of New Smyrna Beach,Eastern,FLA,Florida,No,No,Yes,No,,1/8/2020
NWMT,NorthWestern Corporation,Mountain,NW,Northwest,No,No,Yes,Yes,,
NYIS,New York Independent System Operator,Eastern,NY,New York,No,Yes,Yes,Yes,,
OVEC,Ohio Valley Electric Corporation,Eastern,MIDA,Mid-Atlantic,No,No,Yes,No,,12/1/2018
PACE,PacifiCorp East,Mountain,NW,Northwest,No,No,Yes,Yes,,
PACW,PacifiCorp West,Pacific,NW,Northwest,No,No,Yes,Yes,,
PGE,Portland General Electric Company,Pacific,NW,Northwest,No,No,Yes,Yes,,
PJM,"PJM Interconnection, LLC",Eastern,MIDA,Mid-Atlantic,No,Yes,Yes,Yes,,
PNM,Public Service Company of New Mexico,Arizona,SW,Southwest,No,Yes,Yes,Yes,,
PSCO,Public Service Company of Colorado,Mountain,NW,Northwest,No,No,Yes,Yes,,
PSEI,"Puget Sound Energy, Inc.",Pacific,NW,Northwest,No,No,Yes,Yes,,
SC,South Carolina Public Service Authority,Eastern,CAR,Carolinas,No,No,Yes,Yes,,
SCEG,"Dominion Energy South Carolina, Inc.",Eastern,CAR,Carolinas,No,No,Yes,Yes,,
SCL,Seattle City Light,Pacific,NW,Northwest,No,No,Yes,Yes,,
SEC,Seminole Electric Cooperative,Eastern,FLA,Florida,No,No,Yes,Yes,,
SEPA,Southeastern Power Administration,Central,SE,Southeast,Yes,No,Yes,Yes,,
SIKE,Sikeston Board Of Municipal Utilities,Central,MIDW,Midwest,Yes,No,Yes,Yes,6/1/2025,
SOCO,"Southern Company Services, Inc. - Trans",Central,SE,Southeast,No,No,Yes,Yes,,
SPA,Southwestern Power Administration,Central,CENT,Central,No,No,Yes,Yes,,
SRP,Salt River Project Agricultural Improvement and Power District,Arizona,SW,Southwest,No,No,Yes,Yes,,
SWPP,Southwest Power Pool,Central,CENT,Central,No,Yes,Yes,Yes,,
SWPW,Southwest Power Pool West Balancing Authority Area,Mountain,NW,Northwest,No,Yes,Yes,Yes,4/1/2026,
TAL,City of Tallahassee,Eastern,FLA,Florida,No,No,Yes,Yes,,
TEC,Tampa Electric Company,Eastern,FLA,Florida,No,No,Yes,Yes,,
TEPC,Tucson Electric Power,Arizona,SW,Southwest,No,No,Yes,Yes,,
TIDC,Turlock Irrigation District,Pacific,CAL,California,No,No,Yes,Yes,,
TPWR,"City of Tacoma, Department of Public Utilities, Light Division",Pacific,NW,Northwest,No,No,Yes,Yes,,
TVA,Tennessee Valley Authority,Central,TEN,Tennessee,No,No,Yes,Yes,,
WACM,Western Area Power Administration - Rocky Mountain Region,Arizona,NW,Northwest,No,No,Yes,No,,4/1/2026
WALC,Western Area Power Administration - Desert Southwest Region,Arizona,SW,Southwest,No,No,Yes,Yes,,
WAUE,Western Area Power Administration - Upper Great Plains East,Mountain,NW,Northwest,No,No,Yes,No,,10/1/2015
WAUW,Western Area Power Administration - Upper Great Plains West,Mountain,NW,Northwest,No,No,Yes,No,,4/1/2026
WWA,"NaturEner Wind Watch, LLC",Mountain,NW,Northwest,Yes,No,Yes,No,,10/1/2025
YAD,"Alcoa Power Generating, Inc. - Yadkin Division",Eastern,CAR,Carolinas,Yes,No,Yes,Yes,,
AESO,Alberta Electric System Operator,,CAN,Canada,No,No,No,Yes,,
BCHA,British Columbia Hydro and Power Authority,,CAN,Canada,No,No,No,Yes,,
HQT,Hydro-Quebec TransEnergie,,CAN,Canada,No,No,No,Yes,,
IESO,Ontario IESO,,CAN,Canada,No,No,No,Yes,,
MHEB,Manitoba Hydro,,CAN,Canada,No,No,No,Yes,,
NBSO,New Brunswick System Operator,,CAN,Canada,No,No,No,Yes,,
SPC,Saskatchewan Power Corporation,,CAN,Canada,No,No,No,Yes,,
CEN,Centro Nacional de Control de Energia,,MEX,Mexico,No,No,No,Yes,10/31/2017,
CFE,Comision Federal de Electricidad,,MEX,Mexico,No,No,No,No,,7/1/2018
